500,0,120
500.5,0,120
501,0,120
501.5,0,120
502,0,120
502.5,0,120
503,0,120
503.5,0,120
504,0,120
504.5,0,120
505,0,120
505.5,0,120
506,0,120
506.5,0,120
507,0,120
507.5,0,120
508,0,120
508.5,0,120
509,0,120
509.5,0,120
510,0,120
510.5,0,120
511,0,120
511.5,0,120
512,0,120
512.5,0,120
513,0,120
513.5,0,120
514,0,120
514.5,0,120
515,0,120
515.5,0,120
516,0,120
516.5,0,120
517,0,120
517.5,0,120
518,0,120
518.5,0,120
519,0,120
519.5,0,120
520,0,120
520.5,0,120
521,0,120
521.5,0,120
522,0,120
522.5,0,120
523,0,120
523.5,0,120
524,0,120
524.5,0,120
525,0,120
525.5,0,120
526,0,120
526.5,0,120
527,0,120
527.5,0,120
528,0,120
528.5,0,120
529,0,120
529.5,0,120
530,0,120
530.5,0,120
531,0,120
531.5,0,120
532,0,120
532.5,0,120
533,0,120
533.5,0,120
534,0,120
534.5,0,120
535,0,120
535.5,0,120
536,0,120
536.5,0,120
537,0,120
537.5,0,120
538,0,120
538.5,0,120
539,0,120
539.5,0,120
540,0,120
540.5,0,120
541,0,120
541.5,0,120
542,0,120
542.5,0,120
543,0,120
543.5,0,120
544,0,120
544.5,0,120
545,0,120
545.5,0,120
546,0,120
546.5,0,120
547,0,120
547.5,0,120
548,0,120
548.5,0,120
549,0,120
549.5,0,120
550,0,120
550.5,0,120
551,0,120
551.5,0,120
552,0,120
552.5,0,120
553,0,120
553.5,0,120
554,0,120
554.5,0,120
555,0,120
555.5,0,120
556,0,120
556.5,0,120
557,0,120
557.5,0,120
558,0,120
558.5,0,120
559,0,120
559.5,0,120
560,0,120
560.5,0,120
561,0,120
561.5,0,120
562,0,120
562.5,0,120
563,0,120
563.5,0,120
564,0,120
564.5,0,120
565,0,120
565.5,0,120
566,0,120
566.5,0,120
567,0,120
567.5,0,120
568,0,120
568.5,0,120
569,0,120
569.5,0,120
570,0,120
570.5,0,120
571,0,120
571.5,0,120
572,0,120
572.5,0,120
573,0,120
573.5,0,120
574,0,120
574.5,0,120
575,0,120
575.5,0,120
576,0,120
576.5,0,120
577,0,120
577.5,0,120
578,0,120
578.5,0,120
579,0,120
579.5,0,120
580,0,120
580.5,0,120
581,0,120
581.5,0,120
582,0,120
582.5,0,120
583,0,120
583.5,0,120
584,0,120
584.5,0,120
585,0,120
585.5,0,120
586,0,120
586.5,0,120
587,0,120
587.5,0,120
588,0,120
588.5,0,120
589,0,120
589.5,0,120
590,0,120
