,ux,uy,uz,p
0,0.0,0.0,0.0,0.00516848569
1,0.0,0.0,0.0,0.00201771856
2,0.0,0.0,0.0,-0.00147063164
3,0.0,0.0,0.0,-0.00181325053
4,0.0,0.0,0.0,-0.00237781613
5,0.0,0.0,0.0,-0.00289935401
6,0.0,0.0,0.0,-0.0037489061599999996
7,0.0,0.0,0.0,-0.00336289737
8,0.0,0.0,0.0,-0.00257229575
9,0.0,0.0,0.0,-0.0010838632
10,0.0,0.0,0.0,-0.0010451211999999998
11,0.0,0.0,0.0,-0.00211560403
12,0.0,0.0,0.0,-0.002731941845
13,0.0,0.0,0.0,-0.0034850670119999996
14,0.0,0.0,0.0,-0.002925891218
15,0.0,0.0,0.0,-0.002397021919
16,0.0,0.0,0.0,-0.00242605148
17,0.0,0.0,0.0,-0.0033368171500000004
18,0.0,0.0,0.0,-0.00270835139
19,0.0,0.0,0.0,0.00020962267
20,0.0,0.0,0.0,-7.880923e-05
21,0.0,0.0,0.0,-0.00358111894
22,0.0,0.0,0.0,-0.00503014478
23,0.0,0.0,0.0,-0.00536980155
24,0.0,0.0,0.0,-0.004292060091
25,0.0,0.0,0.0,-0.004189669040000001
26,0.0,0.0,0.0,-0.004850985150000001
27,0.0,0.0,0.0,-0.00464168216
28,0.0,0.0,0.0,-0.0022913939400000002
29,0.0,0.0,0.0,-0.00094927618
30,0.0,0.0,0.0,0.00036540410000000003
31,0.0,0.0,0.0,5.0843099999999994e-05
32,0.0,0.0,0.0,-0.00044696250000000003
33,0.0,0.0,0.0,-0.0020521241
34,0.0,0.0,0.0,-0.0037995957
35,0.0,0.0,0.0,-0.00343155793
36,0.0,0.0,0.0,-0.00274552293
37,0.0,0.0,0.0,-0.0018849233439999999
38,0.0,0.0,0.0,-0.0013770503599999998
39,0.0,0.0,0.0,-0.0017530729899999998
40,0.0,0.0,0.0,-0.00215851223
41,0.0,0.0,0.0,-0.00117761863
42,0.0,0.0,0.0,-0.00170216365
43,0.0,0.0,0.0,-0.00287295687
44,0.0,0.0,0.0,-0.004594709
45,0.0,0.0,0.0,-0.00222133273
46,0.0,0.0,0.0,0.00081915121
