,ux,uy,uz,p
0,0.0,0.0,0.0,0.011429561690000001
1,0.0,0.0,0.0,0.00913689656
2,0.0,0.0,0.0,0.00229281636
3,0.0,0.0,0.0,-0.00130075053
4,0.0,0.0,0.0,-0.00138291913
5,0.0,0.0,0.0,-0.00152184401
6,0.0,0.0,0.0,-0.00256201816
7,0.0,0.0,0.0,-0.00323652737
8,0.0,0.0,0.0,-0.00298100175
9,0.0,0.0,0.0,-0.0012423522
10,0.0,0.0,0.0,0.0003977241
11,0.0,0.0,0.0,0.00028681657
12,0.0,0.0,0.0,-0.00033910254499999997
13,0.0,0.0,0.0,-0.001882549012
14,0.0,0.0,0.0,-0.002803404218
15,0.0,0.0,0.0,-0.002800571919
16,0.0,0.0,0.0,-0.0022298084800000005
17,0.0,0.0,0.0,-0.00241311215
18,0.0,0.0,0.0,-0.00273573439
19,0.0,0.0,0.0,-0.0016671633299999997
20,0.0,0.0,0.0,0.0010341196
21,0.0,0.0,0.0,0.0007240298599999999
22,0.0,0.0,0.0,-0.00074067538
23,0.0,0.0,0.0,-0.0038117935500000004
24,0.0,0.0,0.0,-0.004409932091
25,0.0,0.0,0.0,-0.00407592804
26,0.0,0.0,0.0,-0.0035876271499999998
27,0.0,0.0,0.0,-0.00373241616
28,0.0,0.0,0.0,-0.00350021094
29,0.0,0.0,0.0,-0.00283741438
30,0.0,0.0,0.0,-0.0007798487
31,0.0,0.0,0.0,0.0007048301999999999
32,0.0,0.0,0.0,0.0009025352000000001
33,0.0,0.0,0.0,0.00023342930000000005
34,0.0,0.0,0.0,-0.0014973257000000001
35,0.0,0.0,0.0,-0.00304174693
36,0.0,0.0,0.0,-0.0030282439299999997
37,0.0,0.0,0.0,-0.001870363344
38,0.0,0.0,0.0,-0.00105727136
39,0.0,0.0,0.0,-0.0012087639899999998
40,0.0,0.0,0.0,-0.00267223623
41,0.0,0.0,0.0,-0.00185637063
42,0.0,0.0,0.0,0.0007439241499999999
43,0.0,0.0,0.0,0.00112007613
44,0.0,0.0,0.0,-0.00013218918
45,0.0,0.0,0.0,-0.0017784457300000001
46,0.0,0.0,0.0,-0.0020839648899999997
47,0.0,0.0,0.0,0.0006158255700000001
48,0.0,0.0,0.0,0.005190365471
49,0.0,0.0,0.0,0.006048131680000001
50,0.0,0.0,0.0,0.005883986849999999
51,0.0,0.0,0.0,0.005770592412
52,0.0,0.0,0.0,0.00300268624
53,0.0,0.0,0.0,1.994700999999999e-05
54,0.0,0.0,0.0,-0.005896017600000001
55,0.0,0.0,0.0,-0.008853649860000002
56,0.0,0.0,0.0,-0.006833796570000001
57,0.0,0.0,0.0,-0.00426469907
58,0.0,0.0,0.0,0.00017281499999999994
59,0.0,0.0,0.0,0.0011510452000000001
60,0.0,0.0,0.0,0.001657132
61,0.0,0.0,0.0,0.0035279073399999998
62,0.0,0.0,0.0,0.00237415987
63,0.0,0.0,0.0,0.00024331085999999998
64,0.0,0.0,0.0,-0.0044302054200000005
65,0.0,0.0,0.0,-0.00456288951
66,0.0,0.0,0.0,0.00042348753
67,0.0,0.0,0.0,0.0030149687799999997
68,0.0,0.0,0.0,0.00724802455
69,0.0,0.0,0.0,0.008063830179999999
70,0.0,0.0,0.0,0.0063265894500000005
71,0.0,0.0,0.0,0.0017690546400000002
72,0.0,0.0,0.0,-0.0018395984
73,0.0,0.0,0.0,-0.0063232427
74,0.0,0.0,0.0,-0.00767920758
75,0.0,0.0,0.0,-0.00576986469
76,0.0,0.0,0.0,-0.0002416997
77,0.0,0.0,0.0,0.00030469156999999995
78,0.0,0.0,0.0,-0.00188603375
79,0.0,0.0,0.0,0.0009330596399999999
80,0.0,0.0,0.0,0.001019028
81,0.0,0.0,0.0,-0.0009989083400000001
82,0.0,0.0,0.0,-0.00247548059
83,0.0,0.0,0.0,-0.00201090891
84,0.0,0.0,0.0,-0.00237436396
85,0.0,0.0,0.0,-0.00467441896
86,0.0,0.0,0.0,-0.005739685719999999
87,0.0,0.0,0.0,-0.004217916602
88,0.0,0.0,0.0,-0.003857449827
89,0.0,0.0,0.0,-0.00473251688
90,0.0,0.0,0.0,-0.005034598980000001
91,0.0,0.0,0.0,-0.0037736021099999996
92,0.0,0.0,0.0,-0.00048300402600000004
93,0.0,0.0,0.0,0.0017500625300000002
94,0.0,0.0,0.0,0.00188645921
95,0.0,0.0,0.0,0.00114200075
96,0.0,0.0,0.0,0.00087212082
97,0.0,0.0,0.0,0.0037632394
98,0.0,0.0,0.0,0.005289487868000001
99,0.0,0.0,0.0,0.007288518026
100,0.0,0.0,0.0,0.00827978876
101,0.0,0.0,0.0,0.00811713138
102,0.0,0.0,0.0,0.00813150717
103,0.0,0.0,0.0,0.00698017267
104,0.0,0.0,0.0,0.0041388504299999995
105,0.0,0.0,0.0,0.0027254229199999997
106,0.0,0.0,0.0,0.0028456472
107,0.0,0.0,0.0,0.006516514100000001
108,0.0,0.0,0.0,0.00897264958
109,0.0,0.0,0.0,0.01360084791
110,0.0,0.0,0.0,0.0117371704
111,0.0,0.0,0.0,0.0047830947
112,0.0,0.0,0.0,0.002478454
113,0.0,0.0,0.0,-0.00012804385
114,0.0,0.0,0.0,-0.0019009738800000002
115,0.0,0.0,0.0,-0.00215558296
116,0.0,0.0,0.0,-0.0014838765700000002
117,0.0,0.0,0.0,-0.0011833913699999998
118,0.0,0.0,0.0,-0.0029884695899999995
119,0.0,0.0,0.0,-0.00376139069
120,0.0,0.0,0.0,-0.0032478900000000002
121,0.0,0.0,0.0,-0.00366794015
122,0.0,0.0,0.0,-0.00516380036
123,0.0,0.0,0.0,-0.0070636644
124,0.0,0.0,0.0,-0.00538378518
125,0.0,0.0,0.0,-0.006099445209999999
126,0.0,0.0,0.0,-0.007463553454
127,0.0,0.0,0.0,-0.00534979474
128,0.0,0.0,0.0,-0.00128381786
129,0.0,0.0,0.0,-0.00170967215
130,0.0,0.0,0.0,-0.005527940068
131,0.0,0.0,0.0,-0.00353795219
132,0.0,0.0,0.0,-0.0038585547799999996
133,0.0,0.0,0.0,-0.00661911435
134,0.0,0.0,0.0,-0.006461532850000001
135,0.0,0.0,0.0,-0.005145006
136,0.0,0.0,0.0,-0.004562418899999999
137,0.0,0.0,0.0,-0.00089496723
138,0.0,0.0,0.0,0.00018909702
139,0.0,0.0,0.0,-0.0018092571199999998
140,0.0,0.0,0.0,-0.00309778646
141,0.0,0.0,0.0,-0.0041765805799999995
142,0.0,0.0,0.0,-0.00255358526
143,0.0,0.0,0.0,-0.00144331337
144,0.0,0.0,0.0,-0.00189795824
145,0.0,0.0,0.0,-0.005225189839
146,0.0,0.0,0.0,-0.00723877683
147,0.0,0.0,0.0,-0.00658464208
148,0.0,0.0,0.0,-0.0024144797200000003
149,0.0,0.0,0.0,0.00276341696
150,0.0,0.0,0.0,0.004931388389999999
151,0.0,0.0,0.0,0.00824742477
152,0.0,0.0,0.0,0.007835429900000001
153,0.0,0.0,0.0,0.0060465239
154,0.0,0.0,0.0,0.0008733127
155,0.0,0.0,0.0,-0.00359315806
156,0.0,0.0,0.0,-0.004806573519999999
