	X	Y	uV_mean	ux	uy	mu_t
0	500.5	10.0	12.004532295374776	0.012334170000000033	-0.009692698224000002	4544.637729786076
1	501.0	10.0	12.004368613592323	0.01508945000000006	-0.019333259079999998	-2828.6778192181296
2	501.5	10.0	12.004381673216942	0.009356209999999976	-0.01848941682	-1314.3665647568146
3	502.0	10.0	12.004555622242036	0.003420139999999794	-0.010088435230000001	-1800.2435717354497
4	502.5	10.0	12.004658733247101	0.0016345299999998009	-0.00515721799	-3407.812093300498
5	503.0	10.0	12.004823701977982	0.0034505300000002848	-0.00424708844	-15070.863729699817
6	503.5	10.0	12.004908870644726	0.004114820000000297	-0.0019673068899999997	5590.14462577277
7	504.0	10.0	12.00492927892154	0.005405189999999838	-0.0009243754199999999	2679.184568918711
8	504.5	10.0	12.004954271934572	0.005635019999999935	0.0003142641099999994	2017.8821602679695
9	505.0	10.0	12.004981910855001	0.00023050999999996158	0.0028595751200000004	3885.000394699531
10	505.5	10.0	12.00500799271952	-0.004103469999999998	0.0035336680000000002	-21068.736144695118
11	506.0	10.0	12.0050136509054	-0.00900866999999983	0.0042198452899999996	-2506.8809943778097
12	506.5	10.0	12.005006931889259	-0.013467090000000015	0.00461318567	-1355.8997798533064
13	507.0	10.0	12.004991171175938	-0.009529690000000146	0.0022540275500000004	-1650.0203594760912
14	507.5	10.0	12.004985578141573	-0.0058062399999999625	0.0010798143000000002	-2539.971289116355
15	508.0	10.0	12.004980988201304	-0.0027653899999997567	0.002126264279999999	-18783.442150013703
16	508.5	10.0	12.004988500451026	0.0017234400000000205	0.0026833296199999983	2724.2151361774554
17	509.0	10.0	12.005002281575743	0.005824339999999761	0.003602648610000002	1273.4716014020987
18	509.5	10.0	12.005064026686563	0.009369409999999911	0.0031650129600000014	957.767586509355
19	510.0	10.0	12.005166104023496	0.008295880000000144	-0.0009917633000000002	1643.6164148394919
20	510.5	10.0	12.005269161773436	0.004136559999999845	-0.0032351264500000013	13317.974643583568
21	511.0	10.0	12.005307057849388	0.0008340999999998377	-0.004328283190000001	-3435.797840309806
22	511.5	10.0	12.005346567596213	-0.0003983099999997908	-0.004220809129999998	-2599.0554107221656
23	512.0	10.0	12.005353670515044	-0.00033509999999981055	-0.0015638023500000008	-6322.259630947446
24	512.5	10.0	12.005355445340829	0.0014216700000000415	-0.0006658130590000005	15883.105378984908
25	513.0	10.0	12.00536983070013	0.0029160299999999584	-0.00238504408	22609.582247870283
26	513.5	10.0	12.005386484560095	0.0015515399999999069	-0.0045947225910000005	-3945.010240287526
27	514.0	10.0	12.005364521373421	-0.0010771300000000927	-0.003530386121	-2605.604452832077
28	514.5	10.0	12.005336784940788	-0.004447379999999779	-0.00023673991999999993	-2562.9866420971894
29	515.0	10.0	12.00529009098148	-0.007333209999999868	0.0034442032909999996	-3086.981069793235
30	515.5	10.0	12.00531143081165	-0.005666120000000108	0.00411626382	-7746.080949789043
31	516.0	10.0	12.005342603734318	-0.005117040000000017	0.0016598751300000002	-3472.5976501474343
32	516.5	10.0	12.005371001984729	-0.006995090000000093	-0.00210577181	-1319.1466096972422
33	517.0	10.0	12.0052820809589	-0.007470940000000037	-0.00490811917	-969.8056949314076
34	517.5	10.0	12.00514022260607	-0.005406299999999975	-0.0024892598400000003	-1520.4925889848118
35	518.0	10.0	12.005104248004743	-0.003220560000000039	0.002636731385	-20562.719845453175
36	518.5	10.0	12.005177270282356	-0.0009222300000000239	0.007266532900000001	1892.2768126790415
37	519.0	10.0	12.005393730175049	0.001703589999999977	0.006446793015	1472.9852214405512
38	519.5	10.0	12.005499841437825	0.00335299	0.003500925299999999	1751.6265252705743
39	520.0	10.0	12.005597005572206	0.004207770000000055	0.00038961990000000064	2611.394131607602
40	520.5	10.0	12.0054817149015	0.0024104269999999373	-0.0036238150999999994	-9894.18118976186
41	521.0	10.0	12.005228077705386	0.0002829770000000176	-0.0034139043	-3834.4001400816474
42	521.5	10.0	12.005102198590286	-0.0017253539999997347	-0.0018976037000000001	-3313.619200851052
43	522.0	10.0	12.004930431479076	-0.003122434999999979	-0.00035374059999999973	-3453.4879168587313
44	522.5	10.0	12.004881985404955	-0.00216141900000022	0.0010098110000000002	-10424.451710480185
45	523.0	10.0	12.004894039702332	-4.087300000010785e-05	0.0009891809499999998	12659.27807491617
46	523.5	10.0	12.00495987506709	0.002933468000000161	-0.00023884536999999994	4455.154403222084
47	524.0	10.0	12.005040942585302	0.006290708000000089	-0.0025773517631	3232.9354300268033
48	524.5	10.0	12.005111566375748	0.005770213999999885	-0.002869017449	4137.98629473699
49	525.0	10.0	12.005146121815066	0.00524273899999983	-0.0028920764869	5107.133012464568
50	525.5	10.0	12.005228119441304	0.0050076850000000395	-0.003130670551	6395.9167314012775
51	526.0	10.0	12.005330457707835	0.001936698000000181	-0.0016778011700000002	46371.09870251966
52	526.5	10.0	12.005385579102866	-0.0007414450000002848	-0.00044276174000000036	-10137.91356997341
53	527.0	10.0	12.005495739606586	-0.003584676000000231	0.0017199409600000002	-6438.177801177105
54	527.5	10.0	12.005599779520512	-0.00660163399999969	0.00622025023	-31479.05266008115
55	528.0	10.0	12.00568900496128	-0.006181619999999999	0.00756875557	8655.022093450654
56	528.5	10.0	12.005723550427595	-0.006446057000000116	0.0096712718	3722.457043924028
57	529.0	10.0	12.005762197677178	-0.007194479999999892	0.01094887973	3197.7847488490083
58	529.5	10.0	12.005750666695405	-0.0037226499999999385	0.005072796110000001	8892.1862439724
59	530.0	10.0	12.005725081530251	-0.0006388679999999036	-0.0011527922300000014	-6700.893886298345
