,ux,uy,uz,p
0,0.0,0.0,0.0,-0.0005930247099999999
1,0.0,0.0,0.0,-0.00145153344
2,0.0,0.0,0.0,-0.0025256946400000002
3,0.0,0.0,0.0,-0.0029969145300000003
4,0.0,0.0,0.0,-0.0034479501300000003
5,0.0,0.0,0.0,-0.0034995660100000004
6,0.0,0.0,0.0,-0.00327203016
7,0.0,0.0,0.0,-0.0028059533699999997
8,0.0,0.0,0.0,-0.00254339075
9,0.0,0.0,0.0,-0.0022857622
10,0.0,0.0,0.0,-0.0022881742
11,0.0,0.0,0.0,-0.00115573103
12,0.0,0.0,0.0,-0.00042733564499999996
13,0.0,0.0,0.0,-0.0008303763119999999
14,0.0,0.0,0.0,-0.0025618512179999995
15,0.0,0.0,0.0,-0.0020072649189999997
16,0.0,0.0,0.0,-0.00028646378
17,0.0,0.0,0.0,-0.00287260615
18,0.0,0.0,0.0,-0.004855415389999999
19,0.0,0.0,0.0,-0.00638200733
20,0.0,0.0,0.0,-0.0044165784
21,0.0,0.0,0.0,-0.0037011299399999998
22,0.0,0.0,0.0,-0.00433693478
23,0.0,0.0,0.0,-0.00527051555
24,0.0,0.0,0.0,-0.003444818091
25,0.0,0.0,0.0,-0.00162970504
26,0.0,0.0,0.0,0.00124114185
27,0.0,0.0,0.0,0.00108716284
28,0.0,0.0,0.0,-0.00024610783999999997
29,0.0,0.0,0.0,-0.00081749688
30,0.0,0.0,0.0,-0.0016554031
31,0.0,0.0,0.0,-0.0022367082
32,0.0,0.0,0.0,-0.0024461478
33,0.0,0.0,0.0,-0.0020413931
34,0.0,0.0,0.0,-0.0012027277
35,0.0,0.0,0.0,0.00142725807
36,0.0,0.0,0.0,0.0011413180699999998
37,0.0,0.0,0.0,-0.002971133344
38,0.0,0.0,0.0,-0.00671365136
39,0.0,0.0,0.0,-0.00777554999
40,0.0,0.0,0.0,-0.00930519623
41,0.0,0.0,0.0,-0.00720712963
42,0.0,0.0,0.0,0.00398557035
43,0.0,0.0,0.0,0.007478378129999999
44,0.0,0.0,0.0,0.008913486000000002
45,0.0,0.0,0.0,0.00604137627
46,0.0,0.0,0.0,0.0038768261100000003
47,0.0,0.0,0.0,9.998627e-05
48,0.0,0.0,0.0,-0.003711737529
49,0.0,0.0,0.0,-0.00658821032
50,0.0,0.0,0.0,-0.00719949115
51,0.0,0.0,0.0,-0.006564123588
52,0.0,0.0,0.0,-0.00556052776
53,0.0,0.0,0.0,-0.0049952836899999995
54,0.0,0.0,0.0,-0.0015132135999999998
55,0.0,0.0,0.0,0.00453653414
56,0.0,0.0,0.0,0.00880981843
57,0.0,0.0,0.0,0.008463619930000001
58,0.0,0.0,0.0,0.0011708345999999997
59,0.0,0.0,0.0,-0.0061857838000000005
60,0.0,0.0,0.0,-0.006785253000000001
61,0.0,0.0,0.0,-0.0029311286600000003
62,0.0,0.0,0.0,0.00382913587
63,0.0,0.0,0.0,0.005996185259999999
64,0.0,0.0,0.0,0.006176324580000001
65,0.0,0.0,0.0,0.0037378154900000004
66,0.0,0.0,0.0,9.949423000000001e-05
67,0.0,0.0,0.0,-0.0007341177200000001
68,0.0,0.0,0.0,-0.0010692314499999999
69,0.0,0.0,0.0,-0.00374296682
70,0.0,0.0,0.0,-0.004882807550000001
71,0.0,0.0,0.0,-0.00172774136
72,0.0,0.0,0.0,0.0003483878000000001
73,0.0,0.0,0.0,-0.0020854487
74,0.0,0.0,0.0,-0.0035797735800000004
75,0.0,0.0,0.0,-0.0019339376899999998
76,0.0,0.0,0.0,0.0054870495000000005
77,0.0,0.0,0.0,0.0042240722699999995
78,0.0,0.0,0.0,-0.0032743697499999997
79,0.0,0.0,0.0,-0.00763904336
80,0.0,0.0,0.0,-0.010753898999999999
81,0.0,0.0,0.0,-0.01172248874
82,0.0,0.0,0.0,-0.011300257590000001
83,0.0,0.0,0.0,-0.00748599191
84,0.0,0.0,0.0,-0.00555936196
85,0.0,0.0,0.0,-0.00246953296
86,0.0,0.0,0.0,0.00016189388
87,0.0,0.0,0.0,-0.000549263902
88,0.0,0.0,0.0,-0.001157288827
89,0.0,0.0,0.0,-0.00020244898
90,0.0,0.0,0.0,0.00192612802
91,0.0,0.0,0.0,0.00287383389
92,0.0,0.0,0.0,0.004166627574
93,0.0,0.0,0.0,0.00495738353
94,0.0,0.0,0.0,0.0054736082100000005
95,0.0,0.0,0.0,0.00591730075
96,0.0,0.0,0.0,0.00718506052
97,0.0,0.0,0.0,0.007559371400000001
98,0.0,0.0,0.0,0.007028716868
99,0.0,0.0,0.0,0.004123746026
100,0.0,0.0,0.0,0.0005000069600000001
101,0.0,0.0,0.0,0.0013311013800000001
102,0.0,0.0,0.0,0.0038843901700000003
103,0.0,0.0,0.0,0.01048469167
104,0.0,0.0,0.0,0.01489051743
105,0.0,0.0,0.0,0.01487120192
106,0.0,0.0,0.0,0.0089732402
107,0.0,0.0,0.0,7.076830999999999e-05
108,0.0,0.0,0.0,-0.00280260842
109,0.0,0.0,0.0,-0.0054024480899999994
110,0.0,0.0,0.0,-0.0053296826
111,0.0,0.0,0.0,-0.0029564293
112,0.0,0.0,0.0,-0.001861082
113,0.0,0.0,0.0,-0.0017581891
114,0.0,0.0,0.0,-0.00429684988
115,0.0,0.0,0.0,-0.00507454896
116,0.0,0.0,0.0,-0.00370930457
117,0.0,0.0,0.0,-0.00488889037
118,0.0,0.0,0.0,-0.00841288359
119,0.0,0.0,0.0,-0.00800123069
120,0.0,0.0,0.0,-0.006424035
121,0.0,0.0,0.0,-0.005770373149999999
122,0.0,0.0,0.0,-0.00626383936
123,0.0,0.0,0.0,-0.0086374344
124,0.0,0.0,0.0,-0.00639588018
125,0.0,0.0,0.0,-0.0028079102100000003
126,0.0,0.0,0.0,-0.003231565454
127,0.0,0.0,0.0,-0.00740030874
128,0.0,0.0,0.0,-0.00694858486
129,0.0,0.0,0.0,-0.0027388931500000003
130,0.0,0.0,0.0,-0.002039790068
131,0.0,0.0,0.0,-0.00763723619
132,0.0,0.0,0.0,-0.00381749078
133,0.0,0.0,0.0,-0.00032450424999999996
134,0.0,0.0,0.0,-0.00096146595
135,0.0,0.0,0.0,-0.00478919
136,0.0,0.0,0.0,-0.0065198269
