,ux,uy,uz,p
0,0.0,0.0,0.0,-0.00373073331
1,0.0,0.0,0.0,-0.00183214944
2,0.0,0.0,0.0,-0.005419085640000001
3,0.0,0.0,0.0,-0.00597957553
4,0.0,0.0,0.0,-0.00584569113
5,0.0,0.0,0.0,-0.00628222701
6,0.0,0.0,0.0,-0.00227410716
7,0.0,0.0,0.0,0.004394147629999999
8,0.0,0.0,0.0,0.00585980825
9,0.0,0.0,0.0,0.0069514008
10,0.0,0.0,0.0,0.0064797618
11,0.0,0.0,0.0,0.0026840749700000003
12,0.0,0.0,0.0,0.0006393609549999999
13,0.0,0.0,0.0,-0.0008063847119999999
14,0.0,0.0,0.0,-0.0017001402180000002
15,0.0,0.0,0.0,-0.002424751919
16,0.0,0.0,0.0,-0.0021614534800000005
17,0.0,0.0,0.0,-4.458428e-05
18,0.0,0.0,0.0,0.0008744510099999999
19,0.0,0.0,0.0,0.00266329467
20,0.0,0.0,0.0,0.0049254616
21,0.0,0.0,0.0,0.0065221390599999995
22,0.0,0.0,0.0,0.00737971622
23,0.0,0.0,0.0,0.006429131449999999
24,0.0,0.0,0.0,0.000468091809
25,0.0,0.0,0.0,-0.00269138804
26,0.0,0.0,0.0,-0.00674549215
27,0.0,0.0,0.0,-0.00684881116
28,0.0,0.0,0.0,-0.00560193994
29,0.0,0.0,0.0,-0.0051030523800000005
30,0.0,0.0,0.0,-0.004213157100000001
31,0.0,0.0,0.0,-0.0037799191999999997
32,0.0,0.0,0.0,-0.0045535858
33,0.0,0.0,0.0,-0.0077871941
34,0.0,0.0,0.0,-0.0093596507
35,0.0,0.0,0.0,-0.007281633930000001
36,0.0,0.0,0.0,-0.005420934929999999
37,0.0,0.0,0.0,-0.001273608344
38,0.0,0.0,0.0,0.0012756186400000001
39,0.0,0.0,0.0,0.00096622971
40,0.0,0.0,0.0,-0.0012217692299999999
41,0.0,0.0,0.0,-0.00390878963
42,0.0,0.0,0.0,-0.00541031365
43,0.0,0.0,0.0,-0.0033386018699999996
44,0.0,0.0,0.0,0.004357183
45,0.0,0.0,0.0,0.004194559269999999
46,0.0,0.0,0.0,0.0010892671099999999
47,0.0,0.0,0.0,-0.0014190874299999999
48,0.0,0.0,0.0,0.001162265471
49,0.0,0.0,0.0,0.0026759146799999996
50,0.0,0.0,0.0,0.00341619385
51,0.0,0.0,0.0,0.001350890412
52,0.0,0.0,0.0,-0.00115505476
53,0.0,0.0,0.0,-0.00389220969
54,0.0,0.0,0.0,-0.013360024600000001
55,0.0,0.0,0.0,-0.02125246686
56,0.0,0.0,0.0,-0.01692021657
57,0.0,0.0,0.0,-0.012475444069999998
58,0.0,0.0,0.0,-0.0062043664
59,0.0,0.0,0.0,-0.0029970628000000003
60,0.0,0.0,0.0,-0.001967987
61,0.0,0.0,0.0,-0.00187615166
62,0.0,0.0,0.0,-0.0034366201300000004
63,0.0,0.0,0.0,-0.00383397174
64,0.0,0.0,0.0,-0.00224360542
65,0.0,0.0,0.0,0.00093663229
66,0.0,0.0,0.0,0.00401291653
67,0.0,0.0,0.0,0.0051770257799999995
68,0.0,0.0,0.0,0.00446541855
69,0.0,0.0,0.0,0.00066997488
70,0.0,0.0,0.0,-0.00121693555
71,0.0,0.0,0.0,-0.004421979360000001
72,0.0,0.0,0.0,-0.0078184194
73,0.0,0.0,0.0,-0.010374528700000002
74,0.0,0.0,0.0,-0.01021846358
75,0.0,0.0,0.0,-0.007463407690000001
76,0.0,0.0,0.0,-0.0059214535
77,0.0,0.0,0.0,-0.00617064673
78,0.0,0.0,0.0,-0.00642539475
79,0.0,0.0,0.0,-0.00787677236
80,0.0,0.0,0.0,-0.009561894
81,0.0,0.0,0.0,-0.00957384274
82,0.0,0.0,0.0,-0.00852151259
83,0.0,0.0,0.0,-0.006770717910000001
84,0.0,0.0,0.0,-0.00564526696
85,0.0,0.0,0.0,-0.0045284919600000004
86,0.0,0.0,0.0,-0.006348415719999999
87,0.0,0.0,0.0,-0.009045909602
88,0.0,0.0,0.0,-0.009907004826999999
89,0.0,0.0,0.0,-0.01021708288
90,0.0,0.0,0.0,-0.009442622979999999
91,0.0,0.0,0.0,-0.00928076411
92,0.0,0.0,0.0,-0.009991935426000001
93,0.0,0.0,0.0,-0.009527782470000001
94,0.0,0.0,0.0,-0.00666664779
95,0.0,0.0,0.0,-0.00527486625
96,0.0,0.0,0.0,-0.0037649474800000005
97,0.0,0.0,0.0,-0.0040726766
98,0.0,0.0,0.0,-0.004551937132
99,0.0,0.0,0.0,-0.003517999974
100,0.0,0.0,0.0,-0.00040972334000000007
101,0.0,0.0,0.0,0.00162473838
102,0.0,0.0,0.0,0.00038249617000000004
103,0.0,0.0,0.0,-0.00566308633
104,0.0,0.0,0.0,-0.00997884257
105,0.0,0.0,0.0,-0.00942866408
106,0.0,0.0,0.0,-0.0070122388
107,0.0,0.0,0.0,-0.005971187899999999
108,0.0,0.0,0.0,-0.00520053342
109,0.0,0.0,0.0,-0.004955108089999999
110,0.0,0.0,0.0,-0.006352676599999999
111,0.0,0.0,0.0,-0.007387883300000001
112,0.0,0.0,0.0,-0.008124378
113,0.0,0.0,0.0,-0.0115712521
114,0.0,0.0,0.0,-0.01538667688
115,0.0,0.0,0.0,-0.01569370496
116,0.0,0.0,0.0,-0.00901961057
117,0.0,0.0,0.0,0.00089592583
118,0.0,0.0,0.0,-4.254747e-05
119,0.0,0.0,0.0,-0.00351959569
120,0.0,0.0,0.0,-0.007690098
