,ux,uy,uz,p
0,0.0,0.0,0.0,0.0023950176900000004
1,0.0,0.0,0.0,0.00338602656
2,0.0,0.0,0.0,0.0032313473599999997
3,0.0,0.0,0.0,0.0025911114699999995
4,0.0,0.0,0.0,0.00248704587
5,0.0,0.0,0.0,0.0024700689899999997
6,0.0,0.0,0.0,0.00128165784
7,0.0,0.0,0.0,-0.0025863743699999996
8,0.0,0.0,0.0,-0.00436945675
9,0.0,0.0,0.0,-0.005316876200000001
10,0.0,0.0,0.0,-0.0030006032000000006
11,0.0,0.0,0.0,0.00039792937
12,0.0,0.0,0.0,0.0016244051550000002
13,0.0,0.0,0.0,0.0017742829879999998
14,0.0,0.0,0.0,0.000376571082
15,0.0,0.0,0.0,0.000382933781
16,0.0,0.0,0.0,0.0016996645200000001
17,0.0,0.0,0.0,0.00253239685
18,0.0,0.0,0.0,0.00251552761
19,0.0,0.0,0.0,0.00265328267
20,0.0,0.0,0.0,0.0037395895999999995
21,0.0,0.0,0.0,0.00488574306
22,0.0,0.0,0.0,0.005337343219999999
23,0.0,0.0,0.0,0.0073602684500000005
24,0.0,0.0,0.0,0.010360293909
25,0.0,0.0,0.0,0.010483218959999999
26,0.0,0.0,0.0,0.006689919849999999
27,0.0,0.0,0.0,0.00028696883999999997
28,0.0,0.0,0.0,-0.004562057939999999
29,0.0,0.0,0.0,-0.00638311938
30,0.0,0.0,0.0,-0.008203610100000001
31,0.0,0.0,0.0,-0.0051219861999999994
32,0.0,0.0,0.0,-0.0007222887
33,0.0,0.0,0.0,0.0151727089
34,0.0,0.0,0.0,0.010353835300000001
35,0.0,0.0,0.0,0.00207290507
36,0.0,0.0,0.0,0.00593339107
37,0.0,0.0,0.0,0.010756202656
38,0.0,0.0,0.0,0.00510129864
39,0.0,0.0,0.0,0.0019104220100000001
40,0.0,0.0,0.0,-0.00134486823
41,0.0,0.0,0.0,-0.00105237603
42,0.0,0.0,0.0,-9.770220000000001e-05
43,0.0,0.0,0.0,0.00014241402999999998
44,0.0,0.0,0.0,0.0015975490000000002
45,0.0,0.0,0.0,0.006173948269999999
46,0.0,0.0,0.0,0.009155043109999999
47,0.0,0.0,0.0,0.01311374757
48,0.0,0.0,0.0,0.012845242471000001
49,0.0,0.0,0.0,0.00862376868
50,0.0,0.0,0.0,0.006437841849999999
51,0.0,0.0,0.0,0.005239086412
52,0.0,0.0,0.0,0.006429880240000001
53,0.0,0.0,0.0,0.00678403331
54,0.0,0.0,0.0,0.006297857399999999
55,0.0,0.0,0.0,0.005009000140000001
56,0.0,0.0,0.0,0.0040080974299999995
57,0.0,0.0,0.0,0.00337474293
58,0.0,0.0,0.0,0.0019922336
59,0.0,0.0,0.0,0.0028871992
