,ux,uy,uz,p
0,0.0,0.0,0.0,0.0027436056900000004
1,0.0,0.0,0.0,0.0035348795599999994
2,0.0,0.0,0.0,0.009289969359999999
3,0.0,0.0,0.0,0.01140915047
4,0.0,0.0,0.0,0.00275805087
5,0.0,0.0,0.0,-0.00092034371
6,0.0,0.0,0.0,-0.00147481816
7,0.0,0.0,0.0,0.0036944016300000005
8,0.0,0.0,0.0,0.005566925249999999
9,0.0,0.0,0.0,0.0038838788
10,0.0,0.0,0.0,-0.0018706692
11,0.0,0.0,0.0,-0.00553645003
12,0.0,0.0,0.0,-0.005905119845
13,0.0,0.0,0.0,-0.0043168320119999996
14,0.0,0.0,0.0,-0.002867482218
15,0.0,0.0,0.0,-0.002550288919
16,0.0,0.0,0.0,-0.0016016094799999997
17,0.0,0.0,0.0,-0.00035088645
18,0.0,0.0,0.0,-3.4374599000000005e-05
19,0.0,0.0,0.0,2.215313e-05
20,0.0,0.0,0.0,-0.00044647050000000003
21,0.0,0.0,0.0,-0.00098314264
22,0.0,0.0,0.0,-0.00098155148
23,0.0,0.0,0.0,-0.00067298625
24,0.0,0.0,0.0,-0.000681038191
25,0.0,0.0,0.0,-0.00080193414
26,0.0,0.0,0.0,-0.00125358815
27,0.0,0.0,0.0,-0.00218107816
28,0.0,0.0,0.0,-0.0031392419400000002
29,0.0,0.0,0.0,-0.00326692538
30,0.0,0.0,0.0,-0.0024951231
31,0.0,0.0,0.0,-0.0010629666
32,0.0,0.0,0.0,-0.0005997521000000001
33,0.0,0.0,0.0,-0.0008786110000000001
34,0.0,0.0,0.0,-0.0020558487
35,0.0,0.0,0.0,-0.00226418693
36,0.0,0.0,0.0,-0.00190970293
37,0.0,0.0,0.0,-0.001296917344
38,0.0,0.0,0.0,-0.00151467236
39,0.0,0.0,0.0,-0.0016482889899999999
40,0.0,0.0,0.0,-0.0012870782299999998
41,0.0,0.0,0.0,-0.00054721443
42,0.0,0.0,0.0,-0.00037390314999999997
43,0.0,0.0,0.0,-0.00054901607
44,0.0,0.0,0.0,-0.0010064130999999999
45,0.0,0.0,0.0,-0.0014052697300000001
46,0.0,0.0,0.0,-0.00193301489
47,0.0,0.0,0.0,-0.00332967943
48,0.0,0.0,0.0,-0.004396234529000001
49,0.0,0.0,0.0,-0.00509504932
50,0.0,0.0,0.0,-0.00543791015
51,0.0,0.0,0.0,-0.006755016587999999
52,0.0,0.0,0.0,-0.00921309076
53,0.0,0.0,0.0,-0.01032374769
54,0.0,0.0,0.0,-0.0117220346
