,X,Y,Z
186,555.8000000000001,0.0,120.0
187,556.1,0.0,120.0
188,556.4,0.0,120.0
189,556.7,0.0,120.0
190,557.0,0.0,120.0
191,557.3000000000001,0.0,120.0
192,557.6,0.0,120.0
193,557.9,0.0,120.0
194,558.2,0.0,120.0
195,558.5,0.0,120.0
196,558.8000000000001,0.0,120.0
197,559.1,0.0,120.0
198,559.4,0.0,120.0
199,559.7,0.0,120.0
200,560.0,0.0,120.0
201,560.3000000000001,0.0,120.0
202,560.6,0.0,120.0
203,560.9,0.0,120.0
204,561.2,0.0,120.0
205,561.5,0.0,120.0
206,561.8000000000001,0.0,120.0
207,562.1,0.0,120.0
208,562.4,0.0,120.0
209,562.7,0.0,120.0
210,563.0,0.0,120.0
211,563.3000000000001,0.0,120.0
212,563.6,0.0,120.0
213,563.9,0.0,120.0
214,564.2,0.0,120.0
215,564.5,0.0,120.0
216,564.8000000000001,0.0,120.0
217,565.1,0.0,120.0
218,565.4,0.0,120.0
219,565.7,0.0,120.0
220,566.0,0.0,120.0
221,566.3000000000001,0.0,120.0
222,566.6,0.0,120.0
223,566.9,0.0,120.0
224,567.2,0.0,120.0
225,567.5,0.0,120.0
226,567.8000000000001,0.0,120.0
227,568.1,0.0,120.0
228,568.4,0.0,120.0
229,568.7,0.0,120.0
230,569.0,0.0,120.0
231,569.3000000000001,0.0,120.0
232,569.6,0.0,120.0
233,569.9,0.0,120.0
234,570.2,0.0,120.0
235,570.5,0.0,120.0
236,570.8000000000001,0.0,120.0
237,571.1,0.0,120.0
238,571.4,0.0,120.0
239,571.7,0.0,120.0
240,572.0,0.0,120.0
241,572.3000000000001,0.0,120.0
242,572.6,0.0,120.0
243,572.9,0.0,120.0
244,573.2,0.0,120.0
245,573.5,0.0,120.0
246,573.8000000000001,0.0,120.0
247,574.1,0.0,120.0
248,574.4,0.0,120.0
249,574.7,0.0,120.0
250,575.0,0.0,120.0
251,575.3000000000001,0.0,120.0
252,575.6,0.0,120.0
253,575.9,0.0,120.0
254,576.2,0.0,120.0
255,576.5,0.0,120.0
256,576.8000000000001,0.0,120.0
257,577.1,0.0,120.0
258,577.4,0.0,120.0
259,577.7,0.0,120.0
260,578.0,0.0,120.0
261,578.3000000000001,0.0,120.0
262,578.6,0.0,120.0
263,578.9,0.0,120.0
264,579.2,0.0,120.0
265,579.5,0.0,120.0
266,579.8000000000001,0.0,120.0
267,580.1,0.0,120.0
268,580.4,0.0,120.0
269,580.7,0.0,120.0
270,581.0,0.0,120.0
271,581.3000000000001,0.0,120.0
272,581.6,0.0,120.0
273,581.9,0.0,120.0
274,582.2,0.0,120.0
275,582.5,0.0,120.0
276,582.8000000000001,0.0,120.0
277,583.1,0.0,120.0
278,583.4,0.0,120.0
279,583.7,0.0,120.0
280,584.0,0.0,120.0
281,584.3000000000001,0.0,120.0
282,584.6,0.0,120.0
283,584.9,0.0,120.0
284,585.2,0.0,120.0
285,585.5,0.0,120.0
286,585.8000000000001,0.0,120.0
287,586.1,0.0,120.0
288,586.4,0.0,120.0
289,586.7,0.0,120.0
290,587.0,0.0,120.0
291,587.3000000000001,0.0,120.0
292,587.6,0.0,120.0
293,587.9,0.0,120.0
294,588.2,0.0,120.0
295,588.5,0.0,120.0
296,588.8000000000001,0.0,120.0
297,589.1,0.0,120.0
298,589.4,0.0,120.0
299,589.7,0.0,120.0
300,590.0,0.0,120.0
301,590.3000000000001,0.0,120.0
302,590.6,0.0,120.0
303,590.9,0.0,120.0
304,591.2,0.0,120.0
305,591.5,0.0,120.0
306,591.8000000000001,0.0,120.0
307,592.1,0.0,120.0
308,592.4,0.0,120.0
309,592.7,0.0,120.0
310,593.0,0.0,120.0
311,593.3000000000001,0.0,120.0
312,593.6,0.0,120.0
313,593.9,0.0,120.0
314,594.2,0.0,120.0
315,594.5,0.0,120.0
316,594.8000000000001,0.0,120.0
317,595.1,0.0,120.0
318,595.4,0.0,120.0
319,595.7,0.0,120.0
320,596.0,0.0,120.0
321,596.3000000000001,0.0,120.0
322,596.6,0.0,120.0
323,596.9,0.0,120.0
324,597.2,0.0,120.0
325,597.5,0.0,120.0
326,597.8000000000001,0.0,120.0
327,598.1,0.0,120.0
328,598.4,0.0,120.0
329,598.7,0.0,120.0
330,599.0,0.0,120.0
331,599.3000000000001,0.0,120.0
332,599.6,0.0,120.0
333,599.9,0.0,120.0
334,600.2,0.0,120.0
335,600.5,0.0,120.0
336,600.8000000000001,0.0,120.0
337,601.1,0.0,120.0
338,601.4,0.0,120.0
339,601.7,0.0,120.0
340,602.0,0.0,120.0
